Date,Transfer,Comment,Like
2019/7/30,1,30,40
2019/7/30,0,5,4
2019/7/30,3,40,43
2019/7/30,0,0,6
2019/7/30,7,40,89
2019/7/30,0,0,2
2019/7/30,5,55,78
2019/7/30,1,23,28
2019/7/29,1,12,5
2019/7/29,0,0,3
2019/7/29,5,43,73
2019/7/29,1,2,5
2019/7/28,1,9,8
2019/7/28,2,2,10
2019/7/28,0,1,12
2019/7/28,107,124,575
2019/7/27,2,18,99
2019/7/27,0,10,4
2019/7/27,0,0,8
2019/7/27,8,61,134
2019/7/27,194,250,812
2019/7/27,0,1,9
2019/7/26,0,3,0
2019/7/26,0,0,1
2019/7/26,208,308,364
2019/7/26,1,1,4
2019/7/26,477,135,87
2019/7/25,0,15,6
2019/7/25,0,1,5
2019/7/25,0,33,43
2019/7/25,1,4,8
2019/7/24,0,13,10
2019/7/24,0,0,5
2019/7/24,1,3,6
2019/7/23,0,12,8
2019/7/23,0,1,6
2019/7/23,1,2,9
2019/7/22,0,12,10
2019/7/22,0,2,3
2019/7/22,1,2,3
2019/7/22,0,40,12
2019/7/21,0,4,4
2019/7/21,1,2,10
2019/7/21,2,2,3
2019/7/21,336,365,342
2019/7/20,0,9,3
2019/7/20,7,55,165
2019/7/20,2,2,5
2019/7/20,2,1,7
2019/7/19,0,18,10
2019/7/19,1,1,2
2019/7/19,0,0,3
2019/7/19,1,1,3
2019/7/18,0,4,1
2019/7/18,1,2,3
2019/7/18,1,3,5
2019/7/17,0,15,13
2019/7/17,3,4,6
2019/7/17,1,8,2
2019/7/16,0,7,4
2019/7/16,0,5,4
2019/7/16,33,95,15
2019/7/16,1,2,8
2019/7/16,1,7,6
2019/7/15,0,2,5
2019/7/15,1,4,3
2019/7/15,2,27,12
2019/7/14,0,3,4
2019/7/14,1,5,4
2019/7/14,1,2,4
2019/7/13,1,15,12
2019/7/13,3,4,9
2019/7/13,1,0,7
2019/7/12,0,10,7
2019/7/12,0,2,5
2019/7/12,1,2,5
2019/7/12,2,1,4
2019/7/11,0,13,3
2019/7/11,0,0,4
2019/7/11,0,5,4
2019/7/11,1,2,4
2019/7/10,0,6,10
2019/7/10,0,1,2
2019/7/10,2,92,44
2019/7/10,2,3,5
2019/7/9,0,14,3
2019/7/9,0,1,8
2019/7/9,0,55,10
2019/7/9,3,1,6
2019/7/8,0,12,5
2019/7/8,0,3,5
2019/7/8,1,3,3
2019/7/7,0,11,19
2019/7/7,0,2,4
2019/7/7,2,2,3
2019/7/7,0,4,7
2019/7/6,0,6,9
2019/7/6,0,3,4
2019/7/6,2,1,2
2019/7/5,0,3,2
2019/7/5,1,1,6
2019/7/5,2,11,26
2019/7/5,2,1,2
2019/7/4,2,21,19
2019/7/4,1,1,5
2019/7/4,0,7,9
2019/7/4,3,2,7
2019/7/3,0,7,13
2019/7/3,0,1,6
2019/7/3,1,1,7
2019/7/3,0,34,24
2019/7/2,1,8,3
2019/7/2,0,1,2
2019/7/2,1,3,2
2019/7/2,0,0,5
2019/7/2,0,0,7
2019/7/2,1,1,11
2019/7/2,1,2,4
2019/7/1,0,6,4
2019/7/1,2,5,2
2019/7/1,1,2,4
2019/7/1,0,8,8
2019/6/30,0,23,5
2019/6/30,1,5,6
2019/6/30,1,1,4
2019/6/29,0,16,4
2019/6/29,1,3,8
2019/6/29,0,1,5
2019/6/29,0,0,4
2019/6/29,0,2,7
2019/6/29,4,5,12
2019/6/29,1,3,3
2019/6/28,1,4,2
2019/6/28,1,3,6
2019/6/28,3,4,24
2019/6/28,1,4,9
2019/6/28,5,6,6
2019/6/28,0,22,9
2019/6/28,1,1,16
2019/6/28,0,4,8
2019/6/28,1,1,2
2019/6/27,0,7,2
2019/6/27,0,1,5
2019/6/27,1,3,10
2019/6/26,0,4,1
2019/6/26,2,3,5
2019/6/26,1,2,6
2019/6/26,1,3,6
2019/6/25,0,20,9
2019/6/25,0,5,2
2019/6/25,0,3,9
2019/6/25,4,2,2
2019/6/24,0,11,7
2019/6/24,1,3,0
2019/6/24,1,25,20
2019/6/24,2,1,4
2019/6/23,0,12,6
2019/6/23,0,2,10
2019/6/23,2,3,2
2019/6/22,0,9,4
2019/6/22,2,3,7
2019/6/22,1,2,5
2019/6/21,0,7,3
2019/6/21,2,5,8
2019/6/21,2,1,5
2019/6/21,1,1,7
2019/6/21,2,14,6
2019/6/20,0,1,1
2019/6/20,0,3,4
2019/6/20,1,1,3
2019/6/19,0,31,20
2019/6/19,0,4,5
2019/6/19,1,4,5
2019/6/18,0,15,7
2019/6/18,0,1,4
2019/6/18,1,19,13
2019/6/18,1,2,1
2019/6/18,0,0,0
2019/6/17,0,10,3
2019/6/17,1,0,6
2019/6/17,1,3,5
2019/6/16,0,7,4
2019/6/16,1,4,3
2019/6/16,0,1,6
2019/6/16,1,3,8
2019/6/16,2,4,9
2019/6/15,0,14,3
