Date,Transfer,Comment,Like
2019/7/30,0,2,5
2019/7/30,3,18,10
2019/7/28,1,13,8
2019/7/27,0,14,13
2019/7/26,0,3,12
2019/7/25,4,35,17
2019/7/23,1,9,12
2019/7/21,1,37,25
2019/7/20,1,16,11
2019/7/19,1,2,7
2019/7/19,4,9,12
2019/7/17,1,7,10
2019/7/16,3,16,21
2019/7/14,0,20,8
2019/7/13,1,2,10
2019/7/12,3,2,19
2019/7/11,1,6,10
2019/7/9,0,9,17
2019/7/7,2,12,14
2019/7/7,0,15,32
2019/7/6,0,5,7
2019/7/5,5,4,9
2019/7/4,2,9,14
2019/7/3,3,7,10
2019/6/30,1,8,3
2019/6/29,1,10,16
2019/6/28,2,2,8
2019/6/28,1,16,19
2019/6/26,0,16,11
2019/6/25,1,12,11
2019/6/23,1,18,13
2019/6/22,1,8,9
2019/6/21,6,5,12
2019/6/21,5,14,13
2019/6/19,5,10,26
2019/6/16,2,15,19
2019/6/15,2,8,15
2019/6/15,1,3,9
2019/6/14,6,2,12
2019/6/12,3,9,19
2019/6/9,7,25,24
2019/6/8,2,4,17
2019/6/7,5,1,21
2019/6/7,1,7,13
2019/6/5,2,3,4
2019/6/2,4,14,9
2019/6/2,4,7,16
2019/6/1,0,3,11
2019/6/1,0,2,15
2019/5/31,8,2,11
2019/5/29,9,18,33
2019/5/27,3,11,9
2019/5/27,1,10,10
2019/5/26,5,43,10
2019/5/25,2,3,5
2019/5/24,9,4,17
2019/5/22,7,16,24
2019/5/20,21,29,21
2019/5/19,5,29,6
2019/5/18,5,20,17
2019/5/17,5,2,12
2019/5/15,16,17,32
2019/5/12,4,49,4
2019/5/11,4,16,11
2019/5/10,15,6,21
2019/5/8,9,27,23
2019/5/5,5,75,7
2019/5/4,5,9,8
2019/5/3,8,1,22
2019/5/1,3,14,20
2019/4/28,5,43,7
2019/4/27,3,8,13
2019/4/26,7,7,11
2019/4/24,17,45,69
2019/4/21,8,62,13
2019/4/20,8,32,19
2019/4/19,4,3,19
2019/4/17,6,24,31
2019/4/14,13,83,24
2019/4/13,4,19,9
2019/4/12,5,6,10
2019/4/10,4,15,23
2019/4/7,1,26,6
2019/4/6,4,12,18
2019/4/5,5,11,17
2019/4/3,4,10,24
2019/3/31,1,47,12
2019/3/30,5,12,6
2019/3/29,5,2,6
2019/3/27,4,5,19
2019/3/24,10,48,6
2019/3/23,6,3,9
2019/3/22,7,7,18
2019/3/21,7,24,17
2019/3/17,7,47,11
2019/3/16,6,3,5
2019/3/15,7,9,20
2019/3/13,2,10,12
2019/3/12,2,2,7
2019/3/11,3,8,14
2019/3/10,6,3,14
2019/3/9,2,13,12
2019/3/9,2,5,16
2019/3/8,2,4,18
2019/3/8,1,6,20
2019/3/7,4,2,7
2019/3/4,899,764,333
2019/3/3,5,22,11
2019/3/2,4,9,10
2019/3/1,8,4,16
2019/2/27,4,16,18
2019/2/24,5,33,11
2019/2/23,5,3,16
2019/2/22,4,5,15
2019/2/19,3,15,24
2019/2/19,9,27,52
2019/2/17,1,26,9
2019/2/16,0,11,11
2019/2/15,2,4,17
2019/2/14,2,17,24
2019/2/8,5,24,43
2019/2/7,3,8,11
2019/2/6,2,9,17
2019/2/5,1,23,14
2019/2/3,0,11,7
2019/2/2,2,6,24
2019/2/2,0,10,9
2019/2/1,1,19,11
2019/1/30,2,29,25
2019/1/28,2,32,51
2019/1/27,1,49,17
2019/1/26,3,12,6
2019/1/25,5,3,11
2019/1/25,3,9,10
2019/1/23,3,5,11
2019/1/20,3,117,8
2019/1/19,5,11,3
2019/1/18,5,12,7
2019/1/16,5,10,13
2019/1/13,2,36,9
2019/1/12,5,17,13
2019/1/11,4,6,19
2019/1/9,4,36,25
2019/1/8,2,11,6
2019/1/8,98,53,28
2019/1/6,2,6,11
2019/1/5,3,36,12
2019/1/4,3,7,18
2019/1/1,10,59,38
2019/1/1,10,13,37
2019/1/1,3,9,19
